date,race,horseCode,place,model_prob,public_prob,odds
2024-01-31,1,HK_2021_G470,7,0.07818345270072821,0.10974038753473933,7.4
2024-01-31,1,HK_2020_E139,6,0.08403883340444451,0.030076995102113743,27.0
2024-01-31,1,HK_2021_G279,12,0.10560654207603991,0.05075492923481695,16.0
2024-01-31,1,HK_2017_B213,9,0.11739610042297971,0.029002816705609683,28.0
2024-01-31,1,HK_2021_G322,2,0.08417607306031775,0.06767323897975593,12.0
2024-01-31,1,HK_2019_D274,5,0.10074342796089364,0.045115492653170615,18.0
2024-01-31,1,HK_2022_H285,4,0.05201592316915708,0.17278273782065343,4.7
2024-01-31,1,HK_2020_E489,3,0.09701602631702448,0.06767323897975593,12.0
2024-01-31,1,HK_2020_E409,11,0.06870077064772759,0.08120788677570712,10.0
2024-01-31,1,HK_2021_G072,10,0.058115331115570726,0.09903400826305747,8.2
2024-01-31,1,HK_2020_E448,1,0.023068642190858198,0.08120788677570712,10.0
2024-01-31,2,HK_2018_C531,2,0.09699942243404153,0.02343395545395865,35.0
2024-01-31,2,HK_2018_C476,1,0.08535533146536235,0.048246378875797226,17.0
2024-01-31,2,HK_2019_D090,6,0.08523756571457274,0.3037734966253899,2.7
2024-01-31,2,HK_2021_G109,9,0.09738415106550835,0.03280753763554211,25.0
2024-01-31,2,HK_2020_E281,7,0.10423571533362276,0.10382132163146236,7.9
2024-01-31,2,HK_2021_G411,10,0.08203394580211837,0.00845555093699539,97.0
2024-01-31,2,HK_2021_G352,12,0.08942100556820005,0.14141180015319876,5.8
2024-01-31,2,HK_2020_E149,5,0.06512812468500413,0.08201884408885528,10.0
2024-01-31,2,HK_2021_G168,8,0.07886773927796045,0.05858488863489662,14.0
2024-01-31,2,HK_2020_E429,11,0.06194876534434207,0.04100942204442764,20.0
2024-01-31,2,HK_2021_G250,3,0.06521590226587223,0.12815444388883637,6.4
2024-01-31,2,HK_2020_E138,4,0.042620596286358954,0.02828236003063975,29.0
2024-01-31,3,HK_2018_C460,9,0.10358111964331074,0.0187381497726236,44.0
2024-01-31,3,HK_2020_E282,8,0.09075188721671276,0.0749525990904944,11.0
2024-01-31,3,HK_2022_H323,3,0.08792678554342048,0.26596083548239946,3.1
2024-01-31,3,HK_2021_G081,4,0.10110094519112205,0.13516042458941613,6.1
2024-01-31,3,HK_2020_E236,5,0.10904090938739978,0.1526812203695256,5.4
2024-01-31,3,HK_2023_J057,11,0.08219728271375674,0.030536244073905122,27.0
2024-01-31,3,HK_2021_G259,1,0.08881968471563056,0.0749525990904944,11.0
2024-01-31,3,HK_2021_G201,10,0.06681451909748935,0.05889132785681702,14.0
2024-01-31,3,HK_2021_G413,7,0.07246699316129071,0.13741309833257306,6.0
2024-01-31,3,HK_2021_G372,2,0.054718035077159576,0.02228320513501185,37.0
2024-01-31,3,HK_2020_E188,6,0.06403355036313975,0.028430296206739255,29.0
2024-01-31,4,HK_2021_G088,12,0.10305010494486018,0.01786681048976742,46.0
2024-01-31,4,HK_2020_E175,2,0.09203382123458351,0.07471575295720922,11.0
2024-01-31,4,HK_2020_E432,4,0.08786583686664703,0.08837347123970983,9.3
2024-01-31,4,HK_2022_H118,11,0.0991250279575582,0.08218732825293015,10.0
2024-01-31,4,HK_2020_E386,7,0.10610372057657504,0.07471575295720922,11.0
2024-01-31,4,HK_2020_E359,6,0.08148676723542028,0.010673678993887032,77.0
2024-01-31,4,HK_2022_H281,10,0.08642162994604428,0.12841770039520337,6.4
2024-01-31,4,HK_2018_C361,3,0.06964114236772002,0.10536836955503866,7.8
2024-01-31,4,HK_2021_G456,9,0.0692819385632689,0.3287493130117206,2.5
2024-01-31,4,HK_2019_D474,1,0.05340885955667677,0.04834548720760597,17.0
2024-01-31,4,HK_2022_H434,8,0.06529633275233981,0.010146583734929647,81.0
2024-01-31,4,HK_2022_H134,5,0.049978527092491135,0.03043975120478894,27.0
2024-01-31,5,HK_2020_E028,5,0.10430494720852165,0.05078876183110064,16.0
2024-01-31,5,HK_2022_H324,1,0.08752885698842888,0.12312427110569853,6.6
2024-01-31,5,HK_2020_E397,9,0.08765989663312256,0.08553896729448529,9.5
2024-01-31,5,HK_2021_G364,12,0.10520680633261689,0.03693728133170956,22.0
2024-01-31,5,HK_2021_G307,7,0.11541808727520118,0.09674049872590598,8.4
2024-01-31,5,HK_2020_E176,6,0.08343396100214207,0.05804429923554359,14.0
2024-01-31,5,HK_2021_G125,2,0.09402787765986119,0.11286391518022365,7.2
2024-01-31,5,HK_2021_G150,11,0.060587628895350125,0.13106777246735649,6.2
2024-01-31,5,HK_2021_G277,8,0.07981098412612074,0.0677183491081342,12.0
2024-01-31,5,HK_2022_H066,3,0.057516999244723754,0.09340461945949545,8.7
2024-01-31,5,HK_2019_D267,4,0.06099959441132267,0.08126201892976104,10.0
2024-01-31,5,HK_2019_D513,10,0.03376557713680371,0.06250924533058541,13.0
2024-01-31,6,HK_2021_G266,5,0.1035811104927242,0.07618221513636365,11.0
2024-01-31,6,HK_2022_H056,1,0.09075189231634148,0.23277899069444452,3.6
2024-01-31,6,HK_2018_C511,8,0.08792678530619215,0.049294374500000016,17.0
2024-01-31,6,HK_2021_G264,4,0.10110094922611443,0.16431458166666674,5.1
2024-01-31,6,HK_2023_J049,9,0.10904090145448309,0.05586695776666668,15.0
2024-01-31,6,HK_2023_J088,10,0.08219726925765809,0.023277899069444448,36.0
2024-01-31,6,HK_2023_J089,11,0.08881969735145807,0.0872921215104167,9.6
2024-01-31,6,HK_2022_H133,6,0.0668145146328911,0.17829880138297877,4.7
2024-01-31,6,HK_2022_H436,3,0.07246700077945287,0.09632234097701153,8.7
2024-01-31,6,HK_2022_H363,7,0.05471803555634429,0.013093818226562503,64.0
2024-01-31,6,HK_2019_D287,2,0.06403355428368156,0.023277899069444448,36.0
2024-01-31,7,HK_2022_H092,12,0.11834756174793373,0.10324223121267981,7.9
2024-01-31,7,HK_2020_E061,2,0.10264148189241218,0.037073346662735034,22.0
2024-01-31,7,HK_2019_D278,6,0.09265469918271219,0.05097585166126067,16.0
2024-01-31,7,HK_2021_G130,8,0.10814203370478977,0.025487925830630333,32.0
2024-01-31,7,HK_2022_H362,11,0.11873028199191402,0.2330324647371916,3.5
2024-01-31,7,HK_2022_H264,9,0.08092270415769984,0.0832258802632827,9.8
2024-01-31,7,HK_2020_E434,7,0.08567387132365256,0.10592384760781436,7.7
2024-01-31,7,HK_2021_G033,5,0.06950743039946332,0.040780681329008535,20.0
2024-01-31,7,HK_2022_H082,4,0.058257715033700835,0.07414669332547007,11.0
2024-01-31,7,HK_2021_G208,1,0.040109430173053594,0.08156136265801707,10.0
2024-01-31,7,HK_2021_G195,3,0.06011941967089013,0.026310116986457115,31.0
2024-01-31,7,HK_2021_G012,10,0.047734302323964105,0.13823959772545263,5.9
2024-01-31,8,HK_2022_H303,1,0.11834755608345686,0.07410648114522983,11.0
2024-01-31,8,HK_2021_G268,8,0.1026414804385321,0.11481285811232791,7.1
